PN,Date,StockLevel
1100-0001-5100,2021-03-01,32447.0
1100-0001-5102,2021-03-01,46084.0
1100-0001-5111,2021-03-01,18970.0
1100-0001-5112,2021-03-01,8572.0
1100-0001-5232,2021-03-01,9766.0
1100-0001-5362,2021-03-01,81920.0
1100-0001-5600,2021-03-01,77991.0
1100-0001-5601,2021-03-01,106382.0
1100-0001-5602,2021-03-01,68521.0
1100-0001-5603,2021-03-01,38008.0
1100-0001-5623,2021-03-01,5848.0
1100-0001-5902,2021-03-01,9212.0
1100-0001-6008,2021-03-01,26323.0
1100-0001-6040,2021-03-01,9648.0
1100-0001-6041,2021-03-01,43193.0
1100-0001-6042,2021-03-01,77234.0
1100-0001-6191,2021-03-01,9987.0
1100-0001-6192,2021-03-01,9910.0
1100-0001-6201,2021-03-01,30951.0
1100-0001-6202,2021-03-01,43336.0
1100-0001-6203,2021-03-01,12388.0
1100-0001-6207,2021-03-01,14454.0
1100-0001-6490,2021-03-01,12600.0
1100-0001-6491,2021-03-01,31704.0
1100-0001-6492,2021-03-01,10000.0
1100-0001-6651,2021-03-01,4844.0
1100-0001-6652,2021-03-01,9884.0
1100-0001-6800,2021-03-01,99337.0
1100-0001-6801,2021-03-01,179806.0
1100-0001-6802,2021-03-01,54597.0
1100-0001-6803,2021-03-01,42434.0
1100-0001-6807,2021-03-01,7946.0
1100-0001-6809,2021-03-01,117283.0
1100-0001-6811,2021-03-01,9766.0
1100-0001-6819,2021-03-01,7939.0
1100-0001-6982,2021-03-01,8559.0
1100-0001-7501,2021-03-01,56949.0
1100-0001-7503,2021-03-01,15632.0
1100-0001-7509,2021-03-01,41346.0
1100-0001-7872,2021-03-01,9240.0
1100-0001-8063,2021-03-01,9686.0
1100-0001-8200,2021-03-01,29523.0
1100-0001-8201,2021-03-01,235953.0
1100-0001-8202,2021-03-01,74634.0
1100-0001-8203,2021-03-01,33541.0
1100-0001-8252,2021-03-01,141.0
1100-0001-8451,2021-03-01,6781.0
1100-0001-8662,2021-03-01,10144.0
1100-0001-9091,2021-03-01,17213.0
1100-0001-9092,2021-03-01,9710.0
1100-0001-9101,2021-03-01,131.0
1100-0001-9102,2021-03-01,8757.0
1100-0001-9762,2021-03-01,175.0
1100-0002-0000,2021-03-01,6422.0
1100-0002-3309,2021-03-01,124456.0
1100-0003-0000,2021-03-01,20607.0
1100-0003-1504,2021-03-01,19856.0
1100-0003-1874,2021-03-01,150.0
1100-0003-2210,2021-03-01,9622.0
1100-0003-4708,2021-03-01,9683.0
1100-0004-1000,2021-03-01,30.0
1100-0004-1001,2021-03-01,23647.0
1100-0004-1002,2021-03-01,21213.0
1100-0004-1003,2021-03-01,39620.0
1100-0004-1009,2021-03-01,51.0
1100-0004-1203,2021-03-01,558.0
1100-0004-1213,2021-03-01,34.0
1100-0004-1503,2021-03-01,3465.0
1100-0004-1513,2021-03-01,41376.0
1100-0004-1542,2021-03-01,236.0
1100-0004-1801,2021-03-01,14729.0
1100-0004-1802,2021-03-01,10939.0
1100-0004-2003,2021-03-01,5819.0
1100-0004-2401,2021-03-01,9445.0
1100-0004-2701,2021-03-01,15602.0
1100-0004-3302,2021-03-01,81369.0
1100-0004-3652,2021-03-01,16182.0
1100-0004-3902,2021-03-01,6455.0
1100-0004-4701,2021-03-01,16381.0
1100-0004-4751,2021-03-01,145.0
1100-0004-5601,2021-03-01,16049.0
1100-0004-6801,2021-03-01,9769.0
1100-0004-6802,2021-03-01,746.0
1100-0004-8201,2021-03-01,23148.0
1100-0004-8202,2021-03-01,20931.0
1100-0004-8210,2021-03-01,9732.0
1100-0005-4023,2021-03-01,104.0
1100-0007-2222,2021-03-01,6827.0
1100-0008-6200,2021-03-01,1596.0
1100-0009-5609,2021-03-01,5000.0
1101-0001-0000,2021-03-01,683472.0
1101-0001-1000,2021-03-01,117295.0
1101-0001-1001,2021-03-01,498062.0
1101-0001-1002,2021-03-01,660192.0
1101-0001-1003,2021-03-01,455077.0
1101-0001-1004,2021-03-01,144211.0
1101-0001-1006,2021-03-01,24727.0
1101-0001-1007,2021-03-01,4722.0
1101-0001-1009,2021-03-01,129996.0
1101-0001-1019,2021-03-01,7809.0
1101-0001-1053,2021-03-01,9551.0
1101-0001-1103,2021-03-01,8723.0
1101-0001-1152,2021-03-01,7403.0
1101-0001-1182,2021-03-01,2970.0
1101-0001-1200,2021-03-01,45697.0
1101-0001-1201,2021-03-01,12330.0
1101-0001-1202,2021-03-01,9127.0
1101-0001-1203,2021-03-01,13161.0
1101-0001-1209,2021-03-01,15449.0
1101-0001-1210,2021-03-01,8007.0
1101-0001-1211,2021-03-01,9550.0
1101-0001-1212,2021-03-01,4500.0
1101-0001-1213,2021-03-01,4409.0
1101-0001-1242,2021-03-01,1757.0
1101-0001-1300,2021-03-01,3220.0
1101-0001-1302,2021-03-01,25002.0
1101-0001-1500,2021-03-01,244463.0
1101-0001-1501,2021-03-01,30442.0
1101-0001-1502,2021-03-01,84628.0
1101-0001-1503,2021-03-01,7072.0
1101-0001-1509,2021-03-01,26108.0
1101-0001-1601,2021-03-01,34114.0
1101-0001-1602,2021-03-01,11171.0
1101-0001-1608,2021-03-01,2035.0
1101-0001-1622,2021-03-01,268.0
1101-0001-1800,2021-03-01,15289.0
1101-0001-1801,2021-03-01,3408.0
1101-0001-1802,2021-03-01,3429.0
1101-0001-2000,2021-03-01,9330.0
1101-0001-2001,2021-03-01,19566.0
1101-0001-2002,2021-03-01,16551.0
1101-0001-2003,2021-03-01,7879.0
1101-0001-2008,2021-03-01,4203.0
1101-0001-2103,2021-03-01,15444.0
1101-0001-2200,2021-03-01,56098.0
1101-0001-2201,2021-03-01,307775.0
1101-0001-2202,2021-03-01,29492.0
1101-0001-2203,2021-03-01,46333.0
