PN,ProductGroup,WorkCenter,Predecessors,RawMaterial,OperationRoute,OperationRouteID,ProcessingTimes,SetupTimes,BatchInfo,ScrapRate
6001-1963-7100,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7200,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7300,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7500,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7600,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7700,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7800,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-7900,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-1963-8000,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2010-7700,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-2010-7800,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-5400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-6300,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-6600,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-7400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8000,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8100,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8200,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6001-2016-8400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2016-8700,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2017-9900,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2018-0400,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6001-2018-0500,,SA,[],-,SA,21,[9.96],0,50-100-200,0
6005-1600-0100,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6005-1600-0102,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6005-1600-0103,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 0.833, 3.75, 2.433, 0.6666666666666666]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6010-1600-0000,,SA,"[['6010-1600-0100', 1.0], ['6010-1600-0200', 1.0], ['6010-1600-0300', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6010-1600-0001,,SA,"[['6010-1600-0501', 1.0], ['6010-1700-0400', 1.0], ['6010-1700-0700', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6011-1600-1100,,PRD,"[['1202-0001-1104', 74.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1600-1101,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1600-1102,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.45, 3.75, 1.881, 0.6666666666666666]","[10, 54, 10, 10, 10]",13-26.0-52.0,0.076923077
6011-1800-0700,,PRD,"[['1202-0001-1104', 5.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.827, 0.9]","[10, 54, 10, 10, 10]",14-28.0-56.0,0.142857143
6011-1800-0701,,PRD,"[['1202-0001-1104', 8.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.827, 0.9]","[10, 54, 10, 10, 10]",14-28.0-56.0,0.142857143
6011-1800-0702,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.827, 0.9]","[10, 54, 10, 10, 10]",14-28.0-56.0,0.142857143
6011-1800-0703,,PRD,"[['1202-0001-1104', 9.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.827, 0.9]","[10, 54, 10, 10, 10]",14-28.0-56.0,0.142857143
6015-1800-2400,,Phantom,[],-,Phantom,31,[0],0,8-17.333333333333332-34.666666666666664,0
6015-1800-4602,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 3.75, 1.872, 0.9]","[10, 128.529, 10, 14.025, 10]",36-72.0-144.0,0.08984375
6015-1800-4603,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.45, 2.0, 1.872, 0.9]","[10, 128.529, 10, 14.025, 10]",36-72.0-144.0,0.08984375
6015-1800-6100,,Phantom,"[['6015-1800-9301', 1.0], ['6015-1801-1301', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6015-1800-6700,,Phantom,"[['6015-1901-4400', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6015-1800-6701,,Phantom,"[['6015-1901-4400', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6015-1800-6702,,Phantom,"[['6015-1901-4400', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.02
6015-1800-9300,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.383, 3.75, 1.868, 0.9]","[10, 66.933, 10, 7.25, 10]",22-45.0-90.0,0.02507837
6015-1800-9306,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.383, 3.75, 1.868, 0.6666666666666666]","[10, 66.933, 10, 7.25, 10]",22-45.0-90.0,0.02507837
6015-1801-1300,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.217, 0.733, 3.75, 1.832, 1.3666666666666667]","[10, 10.817, 10, 7.762, 10]",25-50.666666666666664-101.33333333333333,0.034722222
6015-1801-1304,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.217, 0.733, 3.75, 1.832, 1.3666666666666667]","[10, 10.817, 10, 7.762, 10]",25-50.666666666666664-101.33333333333333,0.034722222
6015-1801-4600,WIRE_Semi-Automated,WIRE,"[['6015-1801-5500', 1.0], ['6015-1801-5600', 1.0], ['6015-1801-5700', 1.0], ['6015-1801-5800', 1.0], ['6015-1801-6000', 1.0], ['6015-1802-3100', 1.0], ['6015-1802-3200', 1.0], ['6015-1802-7300', 1.0], ['6015-1802-7400', 1.0], ['6015-1802-7500', 1.0], ['6015-1802-7600', 1.0], ['6015-1802-9300', 1.0], ['6015-1803-0800', 1.0], ['6015-1803-0900', 1.0], ['6015-1803-1100', 1.0], ['6015-1804-8000', 1.0]]",-,WIRE,35,[10.2],0,215-430-860,0.02
6015-1801-6900,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,250-500.0-1000.0,0
6015-1801-8700,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[10.2],0,715-1430.0-2860.0,0
6015-1802-3101,,Phantom,"[['6015-1802-3901', 2.0], ['6015-1802-4001', 1.0], ['6015-1803-5301', 1.0]]",-,Phantom,31,[0],0,41-82.5-165.0,0
6015-1802-3103,,Phantom,"[['6015-1802-3901', 1.0], ['6015-1904-7200', 1.0]]",-,Phantom,31,[0],0,41-82.5-165.0,0
6015-1900-2500,,SA,"[['6015-1900-2600', 1.0], ['6015-1900-2801', 1.0], ['6015-1902-6800', 1.0]]",-,SA,21,[7.723],0,10-21.0-42.0,0
6015-1900-2501,,SA,"[['6015-1900-2600', 1.0], ['6015-1900-2802', 1.0], ['6015-1902-6801', 1.0]]",-,SA,21,[7.723],0,10-21.0-42.0,0
6015-1900-2502,,SA,"[['6015-1900-2600', 1.0], ['6015-1900-2803', 1.0], ['6015-1902-6802', 1.0]]",-,SA,21,[7.723],0,10-21.0-42.0,0
6015-1900-2503,,SA,"[['6015-1900-2600', 1.0], ['6015-1900-2804', 1.0], ['6015-1902-6802', 1.0]]",-,SA,21,[7.723],0,10-21.0-42.0,0
6015-1900-2504,,SA,"[['6015-1900-2601', 1.0], ['6015-1900-2805', 1.0], ['6015-1902-6802', 1.0], ['6015-2000-3200', 1.0]]",-,SA,21,[7.723],0,10-21.0-42.0,0
6015-1900-2602,,Phantom,[],-,Phantom,31,[0],0,8-17.333333333333332-34.666666666666664,0
6015-1900-2800,,Phantom,"[['6015-1800-9303', 1.0], ['6015-1900-4601', 1.0]]",-,Phantom,31,[0],0,8-16.8-33.6,0
6015-1900-4600,,Phantom,"[['6015-1801-5500', 1.0], ['6015-1801-5600', 1.0], ['6015-1801-5700', 1.0], ['6015-1801-5800', 1.0], ['6015-1801-6000', 1.0], ['6015-1802-3100', 1.0], ['6015-1802-3200', 1.0], ['6015-1802-7300', 1.0], ['6015-1802-7400', 1.0], ['6015-1802-7500', 1.0], ['6015-1802-7600', 1.0], ['6015-1802-9300', 1.0], ['6015-1803-0800', 1.0], ['6015-1803-0900', 1.0], ['6015-1900-3000', 2.0], ['6015-1900-3100', 1.0]]",-,Phantom,31,[0],0,50-100-200,0
6015-2000-1101,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.733, 3.75, 1.524, 1.1333333333333333]","[10, 8.25, 10, 1.4, 10]",290-580-1160,0.25
6016-1600-5000,,PRD,"[['1202-0001-1104', 1.0]]",-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.817, 1.417, 3.75, 1.937, 0.9]","[10, 37.027, 10, 1.976, 10]",54-108.0-216.0,0.030940594
6016-1700-9101,WIRE_Semi-Automated,WIRE,[],-,WIRE,35,[6.494],0,156-312.0-624.0,0
