idx,id,depth,Iteration,MasterCompTime,PricingCompTime,pricingExact,MasterSolVal,Integer,ArtVars,artvarSUM,SelectedColumns,TotalColumns,IntegerColumns,SchedulesPerOrder,SchedulesSelectedPerOrder,ColumnsNegRedCost,ColumnsChecked
0,0,0,1,0.021940946578979492,3.828317165374756,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,11,33
0,0,0,2,0.025930166244506836,3.777639627456665,1,6480.0,1,0,0.0,33,33,33,1.0,1.0,12,33
0,0,0,3,0.023937702178955078,4.092691421508789,1,6480.0,1,0,0.0,33,33,33,1.0,1.0,13,33
0,0,0,4,0.024905920028686523,4.0792741775512695,1,6480.0,1,0,0.0,33,33,33,1.0,1.0,13,33
0,0,0,5,0.024932146072387695,4.2086451053619385,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,15,33
0,0,0,6,0.023911237716674805,4.2066261768341064,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,19,33
0,0,0,7,0.02689814567565918,4.450060606002808,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,19,33
0,0,0,8,0.030835628509521484,4.236356258392334,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,22,33
0,0,0,9,0.03300976753234863,4.125449180603027,1,6480.0,1,0,0.0,33,33,33,1.0,1.0,19,33
0,0,0,10,0.029921770095825195,4.382945537567139,1,6480.0,1,0,0.0,33,40,33,1.2121212121212122,1.0,25,33
0,0,0,11,0.028917312622070312,4.311832427978516,1,6480.0,1,0,0.0,33,36,33,1.0909090909090908,1.0,21,33
0,0,0,12,0.03487443923950195,3.8674588203430176,1,6480.0,1,0,0.0,33,36,33,1.0909090909090908,1.0,23,33
0,0,0,13,0.06185150146484375,4.930202007293701,1,2108.164663601456,0,0,0.0,113,197,8,5.96969696969697,3.4242424242424243,30,33
0,0,0,14,0.06582498550415039,4.141747236251831,1,893.4598048989947,0,0,0.0,116,216,10,6.545454545454546,3.515151515151515,19,33
0,0,0,15,0.06584930419921875,4.076306343078613,1,501.9639088082792,0,0,0.0,116,264,12,8.0,3.515151515151515,19,33
0,0,0,16,0.04986381530761719,3.86368465423584,1,410.36308971472783,0,0,0.0,120,277,12,8.393939393939394,3.6363636363636362,19,33
0,0,0,17,0.058855295181274414,4.332698583602905,1,370.2870395273525,0,0,0.0,114,280,14,8.484848484848484,3.4545454545454546,19,33
0,0,0,18,0.044873952865600586,4.0838000774383545,1,361.4224621855179,0,0,0.0,127,314,11,9.515151515151516,3.8484848484848486,19,33
0,0,0,19,0.0568537712097168,3.4057223796844482,1,360.0,0,0,0.0,107,310,14,9.393939393939394,3.242424242424242,3,33
0,0,0,20,0.08276844024658203,3.7458086013793945,1,347.81407193323844,0,0,0.0,127,323,14,9.787878787878787,3.8484848484848486,19,33
0,0,0,21,0.07776522636413574,3.7669172286987305,1,325.52133930846014,0,0,0.0,131,328,14,9.93939393939394,3.9696969696969697,19,33
0,0,0,22,0.1057429313659668,3.907928228378296,1,300.00000000000006,0,0,0.0,138,371,14,11.242424242424242,4.181818181818182,0,33
1,1,1,1,0.021914243698120117,3.634608507156372,1,299.99999999999994,0,0,0.0,138,369,14,11.181818181818182,4.181818181818182,0,32
2,3,2,1,0.026900291442871094,3.4494688510894775,1,299.99999999999994,0,0,0.0,138,368,14,11.151515151515152,4.181818181818182,0,31
3,5,3,1,0.022910594940185547,3.4666213989257812,1,299.99999999999994,0,0,0.0,138,368,14,11.151515151515152,4.181818181818182,0,30
4,7,4,1,0.02194070816040039,3.304579496383667,1,299.99999999999994,0,0,0.0,138,368,14,11.151515151515152,4.181818181818182,0,29
5,9,5,1,0.02091050148010254,3.2648611068725586,1,299.99999999999994,0,0,0.0,138,368,14,11.151515151515152,4.181818181818182,0,28
6,11,6,1,0.021939516067504883,3.1849379539489746,1,299.99999999999994,0,0,0.0,138,367,14,11.121212121212121,4.181818181818182,0,27
7,13,7,1,0.021914243698120117,2.9802958965301514,1,299.99999999999994,0,0,0.0,138,367,14,11.121212121212121,4.181818181818182,0,26
8,15,8,1,0.0219419002532959,3.1980910301208496,1,299.99999999999994,0,0,0.0,138,365,14,11.06060606060606,4.181818181818182,0,25
9,17,9,1,0.025906801223754883,2.8772172927856445,1,299.99999999999994,0,0,0.0,138,364,14,11.030303030303031,4.181818181818182,0,24
10,19,10,1,0.021940946578979492,2.841975688934326,1,299.99999999999994,0,0,0.0,138,364,14,11.030303030303031,4.181818181818182,0,23
11,21,11,1,0.021961450576782227,2.7206871509552,1,299.99999999999994,0,0,0.0,138,364,14,11.030303030303031,4.181818181818182,0,22
12,23,12,1,0.022938966751098633,2.5996525287628174,1,299.99999999999994,0,0,0.0,138,360,14,10.909090909090908,4.181818181818182,0,21
13,25,13,1,0.022938013076782227,2.4935646057128906,1,299.99999999999994,0,0,0.0,138,360,14,10.909090909090908,4.181818181818182,0,20
14,27,14,1,0.022566795349121094,2.3879384994506836,1,299.99999999999994,0,0,0.0,138,360,14,10.909090909090908,4.181818181818182,0,19
15,29,15,1,0.04088163375854492,2.6661570072174072,1,327.3357135450058,0,0,0.0,126,347,15,10.515151515151516,3.8181818181818183,18,18
15,29,15,2,0.08477210998535156,2.2693521976470947,1,300.0,0,0,0.0,131,366,15,11.090909090909092,3.9696969696969697,4,18
15,29,15,3,0.07776570320129395,2.25304913520813,1,300.0,0,0,0.0,131,360,15,10.909090909090908,3.9696969696969697,1,18
