JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
36,191,5,Selective_3,PRD,Selective_1- Selective_2- Selective_3,3000,3360,360,3000.0,7584,4200.0,0,0,0,False,False
37,191,5,CA_7,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,600,3000,960,600.0,5904,3840.0,0,0,0,False,False
38,191,5,SMD_3,PRD,SMD_1- SMD_2- SMD_3,120,600,480,120.0,4848,2880.0,0,0,0,False,False
39,191,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,0,120,120,0.0,4728,2400.0,0,1,0,True,False
102,191,5,SA_22,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4800,6720,1440,4560.0,9120,6720.0,0,1,1,False,True
44,111,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,600,720,120,0.0,7944,4320.0,0,1,0,True,False
43,111,5,SMD_2,PRD,SMD_1- SMD_2- SMD_3,1680,1800,120,120.0,8640,4440.0,0,0,0,False,False
42,111,5,CA_6,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1800,2040,240,240.0,8760,4680.0,0,0,0,False,False
41,111,5,Selective_3,PRD,Selective_1- Selective_2- Selective_3,2160,3000,240,480.0,9000,4920.0,0,0,0,False,False
40,111,5,Depanelize_1,PRD,Depanelize_1- Depanelize_2,4320,4440,120,720.0,9240,5040.0,0,0,1,False,False
103,111,5,SA_18,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4440,6120,1200,1440.0,9360,6720.0,0,1,1,False,True
104,140,5,SA_12,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1920,4320,1440,0.0,9120,6720.0,0,1,1,True,True
45,208,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,3360,3600,240,2880.0,9264,5760.0,0,0,1,False,False
46,208,5,ICT_1,PRD,ICT_1- ICT_2,1920,3360,840,1440.0,7848,4944.0,0,0,0,False,False
47,208,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,1680,1920,240,600.0,7608,4104.0,0,0,0,False,False
