JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
84,29,5,SMD_3,PRD,SMD_1- SMD_2- SMD_3,600,720,120,120.0,9000,5520.0,0,0,0,False,False
85,29,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,360,480,120,0.0,8880,5400.0,0,1,0,True,False
160,29,5,SA_6,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6120,6720,600,1440.0,10440,6720.0,0,1,1,False,True
170,29,5,MILL,MILL,MILL,0,0,0,0.0,10440,6120.0,0,1,1,True,False
162,73,5,SA_14,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5160,5760,120,0.0,10800,6600.0,0,1,1,True,False
161,73,5,SA_14,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5760,5880,120,120.0,10920,6720.0,0,1,1,False,True
163,3,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,2160,3360,720,0.0,10320,6720.0,0,1,1,True,True
86,41,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,2040,2160,120,480.0,10320,6120.0,0,0,1,False,False
87,41,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,1920,2040,120,360.0,10200,6000.0,0,0,0,False,False
88,41,5,CA_4,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1800,1920,120,240.0,10080,5880.0,0,0,0,False,False
89,41,5,SMD_3,PRD,SMD_1- SMD_2- SMD_3,1680,1800,120,120.0,9384,5760.0,0,0,0,False,False
90,41,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,1560,1680,120,0.0,9264,5640.0,0,1,0,True,False
164,41,5,SA_4,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6120,6720,600,600.0,10440,6720.0,0,1,1,False,True
91,2,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,2160,2280,120,480.0,10800,6600.0,0,0,1,False,False
92,2,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,2040,2160,120,360.0,10680,6480.0,0,0,0,False,False
93,2,5,CA_3,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1920,2040,120,240.0,10560,6360.0,0,0,0,False,False
94,2,5,SMD_2,PRD,SMD_1- SMD_2- SMD_3,1800,1920,120,120.0,10440,6240.0,0,0,0,False,False
95,2,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,1440,1560,120,0.0,10320,6120.0,0,1,0,True,False
165,2,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6600,6720,120,600.0,10920,6720.0,0,1,1,False,True
